"User Story: User Story Reference","User Story: Owner Name","Release","JIRA key","User Story: Created By"
"US-0011470","Aayush Shrivastava","Dearborn PNM Phase 3 release","","Aayush Shrivastava"
"US-0011484","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45990","Aayush Shrivastava"
"US-0011490","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46012","Aayush Shrivastava"
"US-0011504","Aayush Shrivastava","Dearborn PNM Phase 3 release","","Aayush Shrivastava"
"US-0011505","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44614","Aayush Shrivastava"
"US-0011512","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47057","Aayush Shrivastava"
"US-0011528","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46811","Aayush Shrivastava"
"US-0011529","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46404","Aayush Shrivastava"
"US-0011567","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47134","Aayush Shrivastava"
"US-0011588","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46789","Aayush Shrivastava"
"US-0011590","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46822","Aayush Shrivastava"
"US-0011607","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47295","Aayush Shrivastava"
"US-0011623","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47050","Aayush Shrivastava"
"US-0011627","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46812","Aayush Shrivastava"
"US-0011637","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47339","Aayush Shrivastava"
"US-0011647","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46405","Aayush Shrivastava"
"US-0011720","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47439","Aayush Shrivastava"
"US-0011723","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47448","Aayush Shrivastava"
"US-0011771","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47071","Aayush Shrivastava"
"US-0011779","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47456","Aayush Shrivastava"
"US-0011782","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47592","Aayush Shrivastava"
"US-0011789","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47598","Aayush Shrivastava"
